counts
210
229
201
211
197
209
220
210
200
209
213
203
185
210
229
181
203
196
169
211
209
214
202
200
198
226
193
200
196
192
207
212
197
222
191
233
205
206
215
214
208
210
209
182
174
187
233
196
206
199
210
175
215
228
223
209
213
182
204
200
210
229
201
211
202
179
197
209
210
229
210
229
217
192
220
210
201
211
210
229
210
229
210
229
210
229
201
211
210
229
221
209
200
209
210
229
197
209
210
229
