counts
207
171
207
171
207
171
184
207
207
171
207
171
207
171
207
171
194
216
237
190
211
211
207
171
207
171
237
190
237
190
184
207
171
199
198
171
171
199
171
199
171
199
171
199
171
199
171
199
192
194
208
168
171
199
201
208
171
199
208
168
208
168
208
220
198
171
171
199
208
220
208
220
208
220
208
220
208
220
208
220
200
193
195
209
208
220
192
241
208
220
195
209
195
209
184
201
171
199
208
220
