counts
207
171
184
207
184
207
184
207
207
171
207
171
184
207
207
171
237
190
223
185
207
171
219
194
199
203
207
171
207
171
184
207
171
199
198
171
198
171
198
171
171
199
171
199
171
199
198
171
208
168
184
214
171
199
200
193
221
159
171
199
171
199
198
171
208
220
171
199
171
199
171
199
208
220
208
220
208
220
171
199
195
209
204
211
208
220
188
193
206
198
208
220
208
220
171
199
184
201
208
220
