counts
207
171
194
216
207
171
184
207
184
207
184
207
184
207
200
221
207
171
184
207
194
216
237
190
184
207
184
207
171
199
192
194
184
207
171
199
198
171
198
171
184
207
198
171
198
171
187
223
171
199
192
194
198
171
208
168
198
171
208
220
198
171
200
193
208
220
198
171
171
199
171
199
171
199
198
171
171
199
195
206
208
220
200
193
171
199
195
209
171
199
184
201
171
199
188
193
184
201
171
199
